id	name	roastery	description	image_path	country	weight	flavour
0	La Esperanza	Mad Heads	By purchasing this coffee you are supporting our Heroes and their families.	https://cdn.madheadscoffee.com/s/1/p/1647/0/large.png	El Salvador	250,1000	Fig,Cocoa,Caramel,Sicilian orange,Dark grape
1	El Embrujo Wizard	Mad Heads		https://cdn.madheadscoffee.com/s/1/p/1632/0/large.png	Colombia	250,1000	Black currant,Rosé wine,Strawberry jam,Pineapple,Apricot
2	Kenya Matunda	Svit Kavy		https://svitkavy.com/media/filer_public_thumbnails/filer_public/44/76/447624ee-fa6d-49ec-b2fc-5060dec5dcb5/keniia_matunda_mokap_sait__1.jpg__0x640_q85_subsampling-2.jpg	Kenya	200	Sugar cane, Caramel, Flower, Stone, Blackberry, Dark chocolate
3	Aruco	Riverside		https://kulturrra.coffee/content/images/5/1800x1800l80nn10/honduras-aruco-riverside-coffee-roastery-250-h-86882067728371.webp	Honduras	250	Cocoa,Honey,Dark berries
4	Caldono	High Hill	FLAVOUR: YOU CAN TASTE GREEN APPLE, CARAMEL, WHITE GRAPES	https://highhillcoffee.com/_next/image?url=https%3A%2F%2Fhighhillcoffee.com%2Fmedia%2Fproducts%2Fcolombia.png&w=2048&q=75	Colombia	250,1000	Green Apple, Caramel, White Grapes
5	Huetenango	High Hill	FLAVOUR: YOU CAN TASTE CHOCOLATE, HAZELNUT, RED APPLE	https://highhillcoffee.com/_next/image?url=https%3A%2F%2Fhighhillcoffee.com%2Fmedia%2Fproducts%2F%25D0%25B3%25D0%25B2%25D0%25B0%25D1%2582%25D0%25B5%25D0%25BC%25D0%25B0%25D0%25BB%25D0%25B0_%25D0%25BC%25D1%2596%25D0%25BB%25D0%25BA.png&w=2048&q=75	Guatemala	250,1000,3000	Chocolate, Hazelnut, Red Apple
6	Simbi Kinazi	High Hill	FLAVOUR: YOU CAN TASTE LEMONGRASS, RASPBERRIES, A PARADISE APPLE	https://highhillcoffee.com/_next/image?url=https%3A%2F%2Fhighhillcoffee.com%2Fmedia%2Fproducts%2FRwanda.png&w=2048&q=75	Rwanda	250,1000	Lemongrass, Raspberries, A paradise apple
